Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR
E0;09/08/2019;Liverpool;Norwich;4;1;H
E0;10/08/2019;West Ham;Man City;0;5;A
E0;10/08/2019;Bournemouth;Sheffield United;1;1;D
E0;10/08/2019;Burnley;Southampton;3;0;H
E0;10/08/2019;Crystal Palace;Everton;0;0;D
E0;10/08/2019;Watford;Brighton;0;3;A
E0;10/08/2019;Tottenham;Aston Villa;3;1;H
E0;11/08/2019;Leicester;Wolves;0;0;D
E0;11/08/2019;Newcastle;Arsenal;0;1;A
E0;11/08/2019;Man United;Chelsea;4;0;H
E0;17/08/2019;Arsenal;Burnley;2;1;H
E0;17/08/2019;Aston Villa;Bournemouth;1;2;A
E0;17/08/2019;Brighton;West Ham;1;1;D
E0;17/08/2019;Everton;Watford;1;0;H
E0;17/08/2019;Norwich;Newcastle;3;1;H
E0;17/08/2019;Southampton;Liverpool;1;2;A
E0;17/08/2019;Man City;Tottenham;2;2;D
E0;18/08/2019;Sheffield United;Crystal Palace;1;0;H
E0;18/08/2019;Chelsea;Leicester;1;1;D
E0;19/08/2019;Wolves;Man United;1;1;D
E0;23/08/2019;Aston Villa;Everton;2;0;H
E0;24/08/2019;Norwich;Chelsea;2;3;A
E0;24/08/2019;Brighton;Southampton;0;2;A
E0;24/08/2019;Man United;Crystal Palace;1;2;A
E0;24/08/2019;Sheffield United;Leicester;1;2;A
E0;24/08/2019;Watford;West Ham;1;3;A
E0;24/08/2019;Liverpool;Arsenal;3;1;H
E0;25/08/2019;Bournemouth;Man City;1;3;A
E0;25/08/2019;Tottenham;Newcastle;0;1;A
E0;25/08/2019;Wolves;Burnley;1;1;D
E0;31/08/2019;Southampton;Man United;1;1;D
E0;31/08/2019;Chelsea;Sheffield United;2;2;D
E0;31/08/2019;Crystal Palace;Aston Villa;1;0;H
E0;31/08/2019;Leicester;Bournemouth;3;1;H
E0;31/08/2019;Man City;Brighton;4;0;H
E0;31/08/2019;Newcastle;Watford;1;1;D
E0;31/08/2019;West Ham;Norwich;2;0;H
E0;31/08/2019;Burnley;Liverpool;0;3;A
E0;01/09/2019;Everton;Wolves;3;2;H
E0;01/09/2019;Arsenal;Tottenham;2;2;D
E0;14/09/2019;Liverpool;Newcastle;3;1;H
E0;14/09/2019;Brighton;Burnley;1;1;D
E0;14/09/2019;Man United;Leicester;1;0;H
E0;14/09/2019;Sheffield United;Southampton;0;1;A
E0;14/09/2019;Tottenham;Crystal Palace;4;0;H
E0;14/09/2019;Wolves;Chelsea;2;5;A
E0;14/09/2019;Norwich;Man City;3;2;H
E0;15/09/2019;Bournemouth;Everton;3;1;H
E0;15/09/2019;Watford;Arsenal;2;2;D
E0;16/09/2019;Aston Villa;West Ham;0;0;D
E0;20/09/2019;Southampton;Bournemouth;1;3;A
E0;21/09/2019;Leicester;Tottenham;2;1;H
E0;21/09/2019;Burnley;Norwich;2;0;H
E0;21/09/2019;Everton;Sheffield United;0;2;A
E0;21/09/2019;Man City;Watford;8;0;H
E0;21/09/2019;Newcastle;Brighton;0;0;D
E0;22/09/2019;Crystal Palace;Wolves;1;1;D
E0;22/09/2019;West Ham;Man United;2;0;H
E0;22/09/2019;Arsenal;Aston Villa;3;2;H
E0;22/09/2019;Chelsea;Liverpool;1;2;A
E0;28/09/2019;Sheffield United;Liverpool;0;1;A
E0;28/09/2019;Aston Villa;Burnley;2;2;D
E0;28/09/2019;Bournemouth;West Ham;2;2;D
E0;28/09/2019;Chelsea;Brighton;2;0;H
E0;28/09/2019;Crystal Palace;Norwich;2;0;H
E0;28/09/2019;Tottenham;Southampton;2;1;H
E0;28/09/2019;Wolves;Watford;2;0;H
E0;28/09/2019;Everton;Man City;1;3;A
E0;29/09/2019;Leicester;Newcastle;5;0;H
E0;30/09/2019;Man United;Arsenal;1;1;D
E0;05/10/2019;Brighton;Tottenham;3;0;H
E0;05/10/2019;Burnley;Everton;1;0;H
E0;05/10/2019;Liverpool;Leicester;2;1;H
E0;05/10/2019;Norwich;Aston Villa;1;5;A
E0;05/10/2019;Watford;Sheffield United;0;0;D
E0;05/10/2019;West Ham;Crystal Palace;1;2;A
E0;06/10/2019;Arsenal;Bournemouth;1;0;H
E0;06/10/2019;Man City;Wolves;0;2;A
E0;06/10/2019;Southampton;Chelsea;1;4;A
E0;06/10/2019;Newcastle;Man United;1;0;H
E0;19/10/2019;Everton;West Ham;2;0;H
E0;19/10/2019;Aston Villa;Brighton;2;1;H
E0;19/10/2019;Bournemouth;Norwich;0;0;D
E0;19/10/2019;Chelsea;Newcastle;1;0;H
E0;19/10/2019;Leicester;Burnley;2;1;H
E0;19/10/2019;Tottenham;Watford;1;1;D
E0;19/10/2019;Wolves;Southampton;1;1;D
E0;19/10/2019;Crystal Palace;Man City;0;2;A
E0;20/10/2019;Man United;Liverpool;1;1;D
E0;21/10/2019;Sheffield United;Arsenal;1;0;H
E0;25/10/2019;Southampton;Leicester;0;9;A
E0;26/10/2019;Man City;Aston Villa;3;0;H
E0;26/10/2019;Brighton;Everton;3;2;H
E0;26/10/2019;Watford;Bournemouth;0;0;D
E0;26/10/2019;West Ham;Sheffield United;1;1;D
